user_id,date,app_name,category,screen_time_min,launches,interactions,is_productive,attention_intensity,fragmentation,time_bucket
1051,2025-01-20,Camera,Utilities,24.53,2,7,False,0.28536485935589073,0.08153281695882593,20+
1088,2025-01-21,Chrome,Utilities,19.78,3,2,False,0.10111223458038422,0.15166835187057634,10-20
1052,2025-01-22,Spotify,Entertainment,32.03,1,6,False,0.18732438339057134,0.031220730565095223,20+
1028,2025-01-23,Google Maps,Utilities,19.1,2,5,False,0.2617801047120419,0.10471204188481674,10-20
1034,2025-01-24,Instagram,Social,25.19,1,5,False,0.19849146486701072,0.03969829297340214,20+
1064,2025-01-25,Chrome,Utilities,85.15,2,5,False,0.05871990604815032,0.023487962419260128,20+
1063,2025-01-26,Instagram,Social,4.37,0,5,False,1.1441647597254003,0.0,2-5
1095,2025-01-27,Camera,Utilities,57.35,2,5,False,0.08718395815170009,0.03487358326068003,20+
1060,2025-01-28,Instagram,Social,58.42,3,2,False,0.034234851078397806,0.05135227661759671,20+
1016,2025-01-29,Snapchat,Social,5.08,0,7,False,1.3779527559055118,0.0,5-10
1060,2025-01-30,Instagram,Social,36.16,5,4,False,0.11061946902654868,0.13827433628318586,20+
1044,2025-01-31,Twitch,Entertainment,6.18,5,7,False,1.132686084142395,0.8090614886731392,5-10
1065,2025-02-01,Instagram,Social,31.61,5,5,False,0.15817779183802594,0.15817779183802594,20+
1059,2025-02-02,Snapchat,Social,110.47,5,1,False,0.009052231375033946,0.04526115687516973,20+
1041,2025-02-03,Netflix,Entertainment,4.1,2,4,False,0.9756097560975611,0.48780487804878053,2-5
1079,2025-02-04,Slack,Productivity,5.97,5,4,True,0.6700167504187605,0.8375209380234506,5-10
1087,2025-02-05,Gmail,Utilities,19.5,4,3,False,0.15384615384615385,0.20512820512820512,10-20
1003,2025-02-06,Google Docs,Productivity,33.26,3,5,True,0.1503307276007216,0.09019843656043296,20+
1041,2025-02-07,Instagram,Social,13.79,0,1,False,0.07251631617113852,0.0,10-20
1022,2025-02-08,Gmail,Utilities,21.07,2,3,False,0.14238253440911247,0.09492168960607499,20+
1093,2025-02-09,Gmail,Utilities,9.53,3,4,False,0.41972717733473247,0.3147953830010493,5-10
1069,2025-02-10,Snapchat,Social,21.09,2,3,False,0.1422475106685633,0.0948316737790422,20+
1056,2025-02-11,Slack,Productivity,33.38,4,1,True,0.029958058717795083,0.11983223487118033,20+
1014,2025-02-12,Twitch,Entertainment,9.63,1,6,False,0.6230529595015576,0.10384215991692626,5-10
1019,2025-02-13,Snapchat,Social,84.67,3,5,False,0.059052793197118224,0.035431675918270934,20+
1027,2025-02-14,Microsoft Teams,Productivity,54.04,4,6,True,0.11102886750555145,0.07401924500370097,20+
1028,2025-02-15,Camera,Utilities,12.75,3,4,False,0.3137254901960784,0.23529411764705882,10-20
1048,2025-02-16,Slack,Productivity,6.41,2,6,True,0.9360374414976599,0.31201248049922,5-10
1004,2025-02-17,YouTube,Entertainment,5.96,3,4,False,0.6711409395973155,0.5033557046979866,5-10
1041,2025-02-18,WhatsApp,Social,57.81,1,5,False,0.0864902266043937,0.01729804532087874,20+
1009,2025-02-19,Snapchat,Social,8.23,0,10,False,1.215066828675577,0.0,5-10
1093,2025-02-20,Weather,Utilities,0.36,1,6,False,16.666666666666668,2.7777777777777777,0-2
1033,2025-02-21,Instagram,Social,16.06,4,5,False,0.31133250311332505,0.24906600249066005,10-20
1023,2025-02-22,Spotify,Entertainment,17.65,4,4,False,0.226628895184136,0.226628895184136,10-20
1061,2025-02-23,YouTube,Entertainment,29.27,3,2,False,0.0683293474547318,0.10249402118209772,20+
1049,2025-02-24,Google Maps,Utilities,49.52,2,2,False,0.04038772213247173,0.04038772213247173,20+
1083,2025-02-25,WhatsApp,Social,20.94,3,6,False,0.28653295128939826,0.14326647564469913,20+
1055,2025-02-26,Slack,Productivity,22.81,2,6,True,0.263042525208242,0.08768084173608068,20+
1027,2025-02-27,YouTube,Entertainment,3.36,2,5,False,1.4880952380952381,0.5952380952380952,2-5
1012,2025-02-28,Camera,Utilities,36.4,3,6,False,0.16483516483516483,0.08241758241758242,20+
1054,2025-03-01,TikTok,Entertainment,2.11,2,2,False,0.9478672985781991,0.9478672985781991,2-5
1021,2025-03-02,Google Maps,Utilities,21.12,2,3,False,0.14204545454545453,0.0946969696969697,20+
1036,2025-03-03,Spotify,Entertainment,11.53,2,10,False,0.8673026886383348,0.17346053772766695,10-20
1085,2025-03-04,TikTok,Entertainment,13.1,1,5,False,0.3816793893129771,0.07633587786259542,10-20
1017,2025-03-05,Chrome,Utilities,110.96,1,3,False,0.027036770007209807,0.009012256669069936,20+
1000,2025-03-06,WhatsApp,Social,13.04,2,6,False,0.4601226993865031,0.15337423312883436,10-20
1032,2025-03-07,WhatsApp,Social,17.62,2,2,False,0.11350737797956867,0.11350737797956867,10-20
1016,2025-03-08,YouTube,Entertainment,22.13,1,9,False,0.4066877541798464,0.045187528242205156,20+
1035,2025-03-09,TikTok,Entertainment,11.08,4,9,False,0.8122743682310469,0.36101083032490977,10-20
1059,2025-03-10,Netflix,Entertainment,7.0,5,10,False,1.4285714285714286,0.7142857142857143,5-10
1031,2025-03-11,Chrome,Utilities,12.12,5,5,False,0.4125412541254126,0.4125412541254126,10-20
1076,2025-03-12,Gmail,Utilities,3.34,2,3,False,0.8982035928143713,0.5988023952095809,2-5
1069,2025-03-13,WhatsApp,Social,30.81,1,9,False,0.2921129503407984,0.03245699448231094,20+
1013,2025-03-14,Snapchat,Social,0.64,2,7,False,10.9375,3.125,0-2
1080,2025-03-15,Camera,Utilities,3.68,2,5,False,1.358695652173913,0.5434782608695652,2-5
1054,2025-03-16,Microsoft Teams,Productivity,38.0,2,5,True,0.13157894736842105,0.05263157894736842,20+
1088,2025-03-17,Evernote,Productivity,0.98,1,3,True,3.061224489795918,1.0204081632653061,0-2
1035,2025-03-18,Snapchat,Social,10.6,5,3,False,0.2830188679245283,0.4716981132075472,10-20
