user_id,date,app_name,category,screen_time_min,launches,interactions,is_productive
1051,1/20/2025,Camera,Utilities,24.53,2,7,FALSE
1088,1/21/2025,Chrome,Utilities,19.78,3,2,FALSE
1052,1/22/2025,Spotify,Entertainment,32.03,1,6,FALSE
1028,1/23/2025,Google Maps,Utilities,19.1,2,5,FALSE
1034,1/24/2025,Instagram,Social,25.19,1,5,FALSE
1064,1/25/2025,Chrome,Utilities,85.15,2,5,FALSE
1063,1/26/2025,Instagram,Social,4.37,0,5,FALSE
1095,1/27/2025,Camera,Utilities,57.35,2,5,FALSE
1060,1/28/2025,Instagram,Social,58.42,3,2,FALSE
1016,1/29/2025,Snapchat,Social,5.08,0,7,FALSE
1060,1/30/2025,Instagram,Social,36.16,5,4,FALSE
1044,1/31/2025,Twitch,Entertainment,6.18,5,7,FALSE
1065,2/1/2025,Instagram,Social,31.61,5,5,FALSE
1059,2/2/2025,Snapchat,Social,110.47,5,1,FALSE
1041,2/3/2025,Netflix,Entertainment,4.1,2,4,FALSE
1079,2/4/2025,Slack,Productivity,5.97,5,4,TRUE
1087,2/5/2025,Gmail,Utilities,19.5,4,3,FALSE
1003,2/6/2025,Google Docs,Productivity,33.26,3,5,TRUE
1041,2/7/2025,Instagram,Social,13.79,0,1,FALSE
1022,2/8/2025,Gmail,Utilities,21.07,2,3,FALSE
1093,2/9/2025,Gmail,Utilities,9.53,3,4,FALSE
1069,2/10/2025,Snapchat,Social,21.09,2,3,FALSE
1056,2/11/2025,Slack,Productivity,33.38,4,1,TRUE
1014,2/12/2025,Twitch,Entertainment,9.63,1,6,FALSE
1019,2/13/2025,Snapchat,Social,84.67,3,5,FALSE
1027,2/14/2025,Microsoft Teams,Productivity,54.04,4,6,TRUE
1028,2/15/2025,Camera,Utilities,12.75,3,4,FALSE
1048,2/16/2025,Slack,Productivity,6.41,2,6,TRUE
1004,2/17/2025,YouTube,Entertainment,5.96,3,4,FALSE
1041,2/18/2025,WhatsApp,Social,57.81,1,5,FALSE
1009,2/19/2025,Snapchat,Social,8.23,0,10,FALSE
1093,2/20/2025,Weather,Utilities,0.36,1,6,FALSE
1033,2/21/2025,Instagram,Social,16.06,4,5,FALSE
1023,2/22/2025,Spotify,Entertainment,17.65,4,4,FALSE
1061,2/23/2025,YouTube,Entertainment,29.27,3,2,FALSE
1049,2/24/2025,Google Maps,Utilities,49.52,2,2,FALSE
1083,2/25/2025,WhatsApp,Social,20.94,3,6,FALSE
1055,2/26/2025,Slack,Productivity,22.81,2,6,TRUE
1027,2/27/2025,YouTube,Entertainment,3.36,2,5,FALSE
1012,2/28/2025,Camera,Utilities,36.4,3,6,FALSE
1054,3/1/2025,TikTok,Entertainment,2.11,2,2,FALSE
1021,3/2/2025,Google Maps,Utilities,21.12,2,3,FALSE
1036,3/3/2025,Spotify,Entertainment,11.53,2,10,FALSE
1085,3/4/2025,TikTok,Entertainment,13.1,1,5,FALSE
1017,3/5/2025,Chrome,Utilities,110.96,1,3,FALSE
1000,3/6/2025,WhatsApp,Social,13.04,2,6,FALSE
1032,3/7/2025,WhatsApp,Social,17.62,2,2,FALSE
1016,3/8/2025,YouTube,Entertainment,22.13,1,9,FALSE
1035,3/9/2025,TikTok,Entertainment,11.08,4,9,FALSE
1059,3/10/2025,Netflix,Entertainment,7,5,10,FALSE
1031,3/11/2025,Chrome,Utilities,12.12,5,5,FALSE
1076,3/12/2025,Gmail,Utilities,3.34,2,3,FALSE
1069,3/13/2025,WhatsApp,Social,30.81,1,9,FALSE
1013,3/14/2025,Snapchat,Social,0.64,2,7,FALSE
1080,3/15/2025,Camera,Utilities,3.68,2,5,FALSE
1054,3/16/2025,Microsoft Teams,Productivity,38,2,5,TRUE
1088,3/17/2025,Evernote,Productivity,0.98,1,3,TRUE
1035,3/18/2025,Snapchat,Social,10.6,5,3,FALSE
1062,3/19/2025,Facebook,Social,43.85,1,3,FALSE
1019,3/20/2025,Netflix,Entertainment,32.99,2,4,FALSE
1099,3/21/2025,Netflix,Entertainment,12.09,0,6,FALSE
1043,3/22/2025,Chrome,Utilities,33.17,3,5,FALSE
1086,3/23/2025,Snapchat,Social,21.21,2,6,FALSE
1058,3/24/2025,Twitter,Social,8.03,1,5,FALSE
1090,3/25/2025,Chrome,Utilities,27.75,1,4,FALSE
1030,3/26/2025,Snapchat,Social,17.89,3,9,FALSE
1050,3/27/2025,Facebook,Social,8.14,4,10,FALSE
1054,3/28/2025,Chrome,Utilities,10.18,3,5,FALSE
1001,3/29/2025,WhatsApp,Social,36.72,5,5,FALSE
1021,3/30/2025,Evernote,Productivity,68.02,3,5,TRUE
1039,3/31/2025,WhatsApp,Social,8.91,2,3,FALSE
1001,4/1/2025,WhatsApp,Social,3.9,3,3,FALSE
1076,4/2/2025,Instagram,Social,18.99,0,5,FALSE
1037,4/3/2025,WhatsApp,Social,41.27,1,7,FALSE
1069,4/4/2025,WhatsApp,Social,39.72,2,12,FALSE
1032,4/5/2025,Instagram,Social,2.6,4,5,FALSE
1068,4/6/2025,Twitch,Entertainment,53.45,3,6,FALSE
1085,4/7/2025,TikTok,Entertainment,7.01,2,4,FALSE
1029,4/8/2025,Weather,Utilities,43.36,2,6,FALSE
1043,4/9/2025,Twitch,Entertainment,30.3,1,4,FALSE
1011,4/10/2025,Chrome,Utilities,4.03,0,8,FALSE
1007,4/11/2025,Weather,Utilities,37.65,3,4,FALSE
1036,4/12/2025,Google Maps,Utilities,13.83,3,6,FALSE
1049,4/13/2025,TikTok,Entertainment,9.84,2,12,FALSE
1046,4/14/2025,Spotify,Entertainment,30.23,2,4,FALSE
1096,4/15/2025,Weather,Utilities,20.25,2,4,FALSE
1004,4/16/2025,Snapchat,Social,53.19,5,4,FALSE
1003,4/17/2025,Camera,Utilities,21.09,4,3,FALSE
1016,4/18/2025,Netflix,Entertainment,34.43,2,8,FALSE
1046,4/19/2025,Facebook,Social,1.81,2,7,FALSE
1031,4/20/2025,Microsoft Teams,Productivity,23.94,3,3,TRUE
1086,4/21/2025,WhatsApp,Social,5.5,0,12,FALSE
1042,4/22/2025,Weather,Utilities,3.66,4,3,FALSE
1096,4/23/2025,Instagram,Social,49.78,1,4,FALSE
1071,4/24/2025,Twitch,Entertainment,1.06,1,5,FALSE
1023,4/25/2025,Google Maps,Utilities,45.77,2,2,FALSE
1044,4/26/2025,Twitter,Social,29.9,0,6,FALSE
1076,4/27/2025,Gmail,Utilities,59.13,0,3,FALSE
1020,4/28/2025,Weather,Utilities,4.85,1,5,FALSE
1047,4/29/2025,Camera,Utilities,20.25,2,5,FALSE
1005,4/30/2025,Google Maps,Utilities,38.76,1,4,FALSE
1055,5/1/2025,Twitter,Social,102.75,2,3,FALSE
1095,5/2/2025,Camera,Utilities,73.66,1,3,FALSE
1034,5/3/2025,Google Maps,Utilities,45.09,1,6,FALSE
1084,5/4/2025,Slack,Productivity,31.55,4,9,TRUE
1001,5/5/2025,Snapchat,Social,13.49,1,5,FALSE
1018,5/6/2025,Google Docs,Productivity,21.91,5,5,TRUE
1079,5/7/2025,Snapchat,Social,17.06,0,4,FALSE
1071,5/8/2025,TikTok,Entertainment,33.67,1,7,FALSE
1022,5/9/2025,Notion,Productivity,5.75,4,9,TRUE
1078,5/10/2025,Google Docs,Productivity,3.32,0,5,TRUE
1021,5/11/2025,Google Docs,Productivity,9.39,3,4,TRUE
1095,5/12/2025,Twitch,Entertainment,18.12,0,3,FALSE
1019,5/13/2025,Notion,Productivity,2.91,5,4,TRUE
1022,5/14/2025,Snapchat,Social,16.11,1,5,FALSE
1071,5/15/2025,Weather,Utilities,20.22,1,4,FALSE
1023,5/16/2025,Evernote,Productivity,24.14,3,4,TRUE
1034,5/17/2025,Google Maps,Utilities,0.67,0,3,FALSE
1020,5/18/2025,YouTube,Entertainment,37.65,0,5,FALSE
1017,5/19/2025,Microsoft Teams,Productivity,24.88,0,8,TRUE
1077,5/20/2025,Facebook,Social,25.82,2,2,FALSE
1068,5/21/2025,Microsoft Teams,Productivity,3.5,4,5,TRUE
1090,5/22/2025,Google Maps,Utilities,55.3,1,5,FALSE
1029,5/23/2025,Gmail,Utilities,28.41,1,6,FALSE
1057,5/24/2025,Microsoft Teams,Productivity,13.93,3,6,TRUE
1007,5/25/2025,Spotify,Entertainment,14.09,2,4,FALSE
1069,5/26/2025,Camera,Utilities,2.2,4,5,FALSE
1091,5/27/2025,Facebook,Social,47.31,1,8,FALSE
1072,5/28/2025,Camera,Utilities,6.15,3,7,FALSE
